"st_id","timest","correct","subject"
"100379","2021-10-30 13:32:29.000",1,"Theory of probability"
"100379","2021-10-30 14:11:19.000",0,"Vizualization"
"100379","2021-10-30 15:54:22.000",1,"Theory of probability"
"100379","2021-10-30 16:44:50.000",1,"Vizualization"
"100379","2021-10-30 17:15:05.000",1,"Theory of probability"
"100379","2021-10-30 18:02:37.000",1,"Theory of probability"
"100379","2021-10-30 18:17:25.000",1,"Vizualization"
"100379","2021-10-30 18:32:26.000",0,"Theory of probability"
"100379","2021-10-30 19:19:33.000",1,"Vizualization"
"100379","2021-10-30 19:28:03.000",1,"Theory of probability"
"100379","2021-10-30 20:23:01.000",0,"Theory of probability"
"100379","2021-10-30 20:32:21.000",1,"Theory of probability"
"100379","2021-10-30 20:58:01.000",0,"Vizualization"
"100379","2021-10-30 22:01:45.000",1,"Theory of probability"
"100379","2021-10-30 23:00:35.000",0,"Theory of probability"
"100379","2021-10-30 23:05:06.000",0,"Theory of probability"
"100379","2021-10-30 23:15:23.000",1,"Vizualization"
"100379","2021-10-30 23:57:55.000",0,"Vizualization"
"100379","2021-10-31 00:26:32.000",1,"Theory of probability"
"100379","2021-10-31 00:39:39.000",0,"Theory of probability"
"100379","2021-10-31 01:16:04.000",0,"Vizualization"
"100379","2021-10-31 01:59:42.000",1,"Theory of probability"
"100379","2021-10-31 03:23:52.000",0,"Theory of probability"
"100379","2021-10-31 03:45:31.000",0,"Theory of probability"
"100379","2021-10-31 03:58:40.000",0,"Theory of probability"
"100379","2021-10-31 04:40:35.000",1,"Vizualization"
"100379","2021-10-31 04:46:32.000",0,"Vizualization"
"100379","2021-10-31 05:37:41.000",1,"Theory of probability"
"100379","2021-10-31 06:31:46.000",0,"Vizualization"
"100379","2021-10-31 06:57:57.000",0,"Theory of probability"
"100379","2021-10-31 07:10:01.000",1,"Vizualization"
"100379","2021-10-31 07:18:41.000",1,"Vizualization"
"100379","2021-10-31 08:02:50.000",1,"Vizualization"
"100379","2021-10-31 09:05:07.000",1,"Theory of probability"
"100379","2021-10-31 09:09:36.000",0,"Theory of probability"
"100379","2021-10-31 09:15:44.000",0,"Theory of probability"
"100379","2021-10-31 09:21:54.000",1,"Vizualization"
"100379","2021-10-31 09:34:31.000",0,"Theory of probability"
"100379","2021-10-31 10:54:22.000",1,"Theory of probability"
"100379","2021-10-31 11:16:42.000",1,"Vizualization"
"100379","2021-10-31 11:37:06.000",1,"Theory of probability"
"100379","2021-10-31 11:46:35.000",0,"Theory of probability"
"100379","2021-10-31 11:48:40.000",1,"Theory of probability"
"100379","2021-10-31 12:00:34.000",1,"Vizualization"
"100379","2021-10-31 12:28:36.000",1,"Theory of probability"
"100379","2021-10-31 12:33:27.000",0,"Vizualization"
"100379","2021-10-31 12:51:54.000",1,"Vizualization"
"101432","2021-10-30 13:14:00.000",1,"Theory of probability"
"101432","2021-10-30 14:04:07.000",0,"Theory of probability"
"101432","2021-10-30 16:28:58.000",1,"Theory of probability"
"101432","2021-10-30 16:31:06.000",1,"Theory of probability"
"101432","2021-10-30 17:14:50.000",1,"Theory of probability"
"101432","2021-10-30 18:23:42.000",0,"Theory of probability"
"101432","2021-10-30 19:31:34.000",1,"Theory of probability"
"101432","2021-10-30 20:48:47.000",1,"Theory of probability"
"101432","2021-10-30 20:56:06.000",0,"Theory of probability"
"101432","2021-10-30 22:28:59.000",0,"Theory of probability"
"101432","2021-10-30 22:42:28.000",0,"Theory of probability"
"101432","2021-10-30 22:45:42.000",0,"Theory of probability"
"101432","2021-10-30 23:42:36.000",0,"Theory of probability"
"101432","2021-10-31 00:49:24.000",0,"Theory of probability"
"101432","2021-10-31 01:12:38.000",1,"Theory of probability"
"101432","2021-10-31 02:02:50.000",1,"Theory of probability"
"101432","2021-10-31 03:24:17.000",1,"Theory of probability"
"101432","2021-10-31 04:08:24.000",0,"Theory of probability"
"101432","2021-10-31 05:02:50.000",0,"Theory of probability"
"101432","2021-10-31 06:28:38.000",1,"Theory of probability"
"101432","2021-10-31 08:04:20.000",1,"Theory of probability"
"101432","2021-10-31 09:22:12.000",0,"Theory of probability"
